,,Aaron,eb0d,Acts,2,"man: eye,see: day,sun",
,,Achaia,eb7c,Acts,2,"pain,hurt: knife,cut: land,ground,earth",
,,Adramyttium,eb93,Acts,2,walk: very : village: many: neighbor: house: near,
,,Adriatic_Sea,ec17,Acts,2,"ocean,sea: big: wet,water: no,not: plant,tree,wood",
,,Aeneas,ec2a,Acts,2,"man: good: crooked: no,not: straight",
,,Agabus,eb89,Acts,2,man: insect,
,,Agrippa,eb9d,Acts,2,"man: pain,hurt: knife,cut: heart",
,,Alexandria,eb5a,Acts,2,"save,rescue: very: help: people;straight: village: many: neighbor: house: near",
,,Amphipolis,eb2e,Acts,2,"ocean,sea: big: wet,water: village: many: neighbor: house: near",
,,Ananias,eb65,Acts,2,"man: crown,ruler,king,lord: happy,joy",
,,ancestor,ec80,Acts,1,"very: backward: time,when: man: love,compassion",
,,Annas,eb63,Acts,2,"man: no,not: kill,destroy: knife,cut: person",
,,Antioch,eb58,Acts,2,"against: backward: to,forward: village: many: neighbor: house: near",
,,Antipatris,eb9a,Acts,2,"man: against: backward: forward,to: family: house: love,compassion",
,,Apollos,eb3e,Acts,2,"man: kill,destroy: knife,cut: person",
,,Apolonia,eb30,Acts,2,"kill,destroy: knife,cut: person: village: many: neighbor: house: near",
,,Aquila,eb17,Acts,2,"man: eat,food,meal: mouth,said,speak: thing",
,,Arabia,eb77,Acts,2,"land,ground,earth: desert,wilderness: no,not: plant,tree,wood",
,,Areopagus,ec35,Acts,2,"council: body: lead,leader: to,forward: person: hill: small,few: mountain",
,,Aristarchus,ec10,Acts,2,"man: good: crown,ruler,king,lord",
,,Artemas,ec34,Acts,2,"man: very: all,whole",
,,Asia,eb6f,Acts,2,"direction: land,ground,earth",
,,Assos,eb20,Acts,2,near: village: many: neighbor: house,
,,Athens,eb07,Acts,2,"ignorant,ignorance: village: many: neighbor: house: near",
,,Attalia,eb31,Acts,2,"time,when: village: many: neighbor: house: near",
,,Azotus,eb7e,Acts,2,"praise,worship: mouth,said,speak: good: plant,tree,wood: village: many: neighbor: house: near",
,,Bar_Jesus_not_Christ,ec89,Acts,2,"man: small,few: help: straight: people",
,,Barnabas,ec2f,Acts,2,"man: free,freedom: heart",
,,Barsabbas,eb69,Acts,2,"man: wet,water",
,,Believer,eb90,Acts,2,"follow: people: to,forward: crown,ruler,king,lord: cross",Christian
,,Benjamin,eb4b,Acts,2,man: hand,
,,Berea,eb13,Acts,2,"no,not: walk: village: many: neighbor: house: near",
,,Bernice,eb9e,Acts,2,"woman: prevail,triumph,victory: crown,ruler,king,lord: war,fight,battle",
,,Bithynia,eb48,Acts,2,"break: knife,cut: all,whole: land,ground,earth",
,,black,eb86,Acts,1,"color: moon,night",
,,Blastus,eb8d,Acts,2,"man: small,few: plant,tree,wood",
,,bronze,eb2c,Acts,1,soft: metal,
