0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb0d', 'eb0d', 'Aaron', 'Arão']
['\uecd7', 'ecd7', 'Abaddon', 'Abadom']
['\uea96', 'ea96', 'Abel', 'Abel']
['\ue35f', 'e35f', 'Abiathar', 'Abiatar']
['\ue17b', 'e17b', 'abide', 'permanecer']
['\uea5b', 'ea5b', 'Abijah', 'Abías']
['\uec4d', 'ec4d', 'Abilene', 'Abilene']
['\ue124', 'e124', 'ability', 'habilidade']
['\uea6a', 'ea6a', 'Abiud', 'Abiúde']
['\ue0a4', 'e0a4', 'abomination', 'abominação']
['\ue11b', 'e11b', 'about', 'cerca_de']
['\ue110', 'e110', 'above', 'acima_de']
['\ue373', 'e373', 'Abraham', 'Abraâo']
['\uec4e', 'ec4e', 'Abyss', 'Abismo']
['\ue24d', 'e24d', 'according_to', 'de_acordo_com']
['\ue055', 'e055', 'accuse', 'acusar']
['\ueb7c', 'eb7c', 'Achaia', 'Acaia']
['\ueca5', 'eca5', 'Achaicus', 'Acaico']
['\uea6e', 'ea6e', 'Achim', 'Aquim']
['\uec4f', 'ec4f', 'Adam', 'Adão']
['\uec50', 'ec50', 'Addi', 'Adi']
['\uec51', 'ec51', 'Admin', 'Admin']
['\ue177', 'e177', 'adopt', 'adotar']
['\ue177', 'e177', 'adoption', 'adoção']
['\ueb93', 'eb93', 'Adramyttium', 'Adramitino']
['\uec17', 'ec17', 'Adriatic_Sea', 'Mar_Adriático']
['\ue027', 'e027', 'adultery', 'Adultério']
['\uec2a', 'ec2a', 'Aeneas', 'Eneias']
['\ueba1', 'eba1', 'Aenon', 'Enom']
['\ue056', 'e056', 'afraid', 'com_medo']
['\ue11d', 'e11d', 'after', 'depois_de']
['\ueb89', 'eb89', 'Agabus', 'Ágabo']
['\ue330', 'e330', 'against', 'contra']
['\ueb9d', 'eb9d', 'Agrippa', 'Agripa']
['\uea61', 'ea61', 'Ahaz', 'Acaz']
['\ue312', 'e312', 'air', 'ar']
['\ue0d4', 'e0d4', 'alabaster', 'alabastro']
['\uea14', 'ea14', 'Alexander', 'Alexander']
['\ueb5a', 'eb5a', 'Alexandria', 'Alexandria']
['\ue09f', 'e09f', 'alive', 'vivo']
['\ue251', 'e251', 'all', 'todos']
['\ue04a', 'e04a', 'allow', 'permitir']
['\ue223', 'e223', 'alone', 'sozinho']
['\uec24', 'ec24', 'Alphaeus', 'Alfeu']
['\uea3c', 'ea3c', 'altar', 'altar']
['\ue252', 'e252', 'always', 'sempre']
['\ue14a', 'e14a', 'amazed', 'pasmados']
['\ue14a', 'e14a', 'amazing', 'assombroso']
['\uebfd ', 'ebfd', 'ambassador', 'embaixador']
['\ue100', 'e100', 'amen', 'Amém']
['\uea51', 'ea51', 'Amminadab', 'Aminadabe']
['\uea64', 'ea64', 'Amon', 'Amom']
['\uec47', 'ec47', 'Amos', 'Amós']
['\ueb2e', 'eb2e', 'Amphipolis', 'Anfípolis']
['\uebb9', 'ebb9', 'Ampliatus', 'Ampliatus']
['\ueb65', 'eb65', 'Ananias', 'Ananias']
['\uec80', 'ec80', 'ancestor', 'antepassado']
['\ue11c', 'e11c', 'and', 'e']
['\ue357', 'e357', 'Andrew', 'André']
['\uebba', 'ebba', 'Andronicus', 'Andrônico']
['\ue0a7', 'e0a7', 'angel', 'anjo']
['\ue204', 'e204', 'anger', 'raiva']
['\ue204', 'e204', 'angry', 'bravo']
['\ue102', 'e102', 'animal', 'animal']
['\ueb02', 'eb02', 'Anna', 'Anás']
['\ueb63', 'eb63', 'Annas', 'Anás']
['\ue033', 'e033', 'anointed', 'ungido']
['\uebf2', 'ebf2', 'another', 'mais_um']
['\ued0e', 'ed0e', 'Antichrist', 'Anticristo']
['\ueb58', 'eb58', 'Antioch', 'Antioquia']
['\uec01', 'ec01', 'Antipas', 'Antipas']
['\ueb9a', 'eb9a', 'Antipatris', 'Antipátride']
['\uebbb', 'ebbb', 'Apelles', 'Apeles']
['\ueb30', 'eb30', 'Apollonia           ', 'Apolonia']
