,Aaron,eb0d,Arão
,Abaddon,ecd7,Abadom
,Abel,ea96,Abel
,Abiathar,e35f,Abiatar
,abide,e17b,permanecer
,Abijah,ea5b,Abías
,Abilene,ec4d,Abilene
,ability,e124,habilidade
,Abiud,ea6a,Abiúde
,abomination,e0a4,abominação
,about,e11b,cerca_de
,above,e110,acima_de
,Abraham,e373,Abraâo
,Abyss,ec4e,Abismo
,according_to,e24d,de_acordo_com
,accuse,e055,acusar
,Achaia,eb7c,Acaia
,Achaicus,eca5,Acaico
,Achim,ea6e,Aquim
,Adam,ec4f,Adão
,Addi,ec50,Adi
,Admin,ec51,Admin
,adopt,e177,adotar
,Adramyttium,eb93,Adramitino
,Adriatic_Sea,ec17,Mar_Adriático
,adultery,e027,Adultério
,Aeneas,ec2a,Eneias
,Aenon,eba1,Enom
,afraid,e056,com_medo
,after,e11d,depois_de
,Agabus,eb89,Ágabo
,against,e330,contra
,Agrippa,eb9d,Agripa
,Ahaz,ea61,Acaz
,air,e312,ar
,alabaster,e0d4,alabastro
,Alexander,ea14,Alexander
,Alexandria,eb5a,Alexandria
,alive,e09f,vivo
,all,e251,todos
,allow,e04a,permitir
,alone,e223,sozinho
,Alphaeus,ec24,Alfeu
,altar,ea3c,altar
,always,e252,sempre
,amazed,e14a,pasmados
,ambassador,ebfd,embaixador
,amen,e100,Amém
,Amminadab,ea51,Aminadabe
,Amon,ea64,Amom
,Amos,ec47,Amós
,Amphipolis,eb2e,Anfípolis
,Ampliatus,ebb9,Ampliatus
,Ananias,eb65,Ananias
,ancestor,ec80,antepassado
,and,e11c,e
,Andrew,e357,André
,Andronicus,ebba,Andrônico
,angel,e0a7,anjo
,anger,e204,raiva
,animal,e102,animal
,Anna,eb02,Anás
,Annas,eb63,Anás
,anointed,e033,ungido
,another,ebf2,mais_um
,Antichrist,ed0e,Anticristo
,Antioch,eb58,Antioquia
,Antipas,ec01,Antipas
,Antipatris,eb9a,Antipátride
,Apelles,ebbb,Apeles
,Apollonia,eb30,Apolonia
,Apollos,eb3e,Apolo
,apostle,ebef,apóstolo
,appear,e162,aparecer
,Apphia,ecf1,Áfia
,appointed,e041,nomeado
,Aquila,eb17,Áquila
,Arabia,eb77,Arábia
,Archippus,ece7,Arquipo
,Areopagus,ec35,Areopagus
,Aretas,eca6,Aretas
,argument,e057,argumento
,Arimathea,e34d,Arimateia
,arise,e322,Levantar-se
,Aristarchus,ec10,Aristarco
,Aristobulus,ebbc,Aristóbulo
,arm,e14e,braço
,armor,ebbd,armaduras
,army,e148,exército
,Arni,ec52,Arni
,around,e31b,ao_redor
,Arphaxad,ec53,Arfaxade
,arrest,e25f,prender
,arrow,ecbf,seta
,Artemas,ec34,Ártemas
,Asa,ea5c,Asa
,ash,ea90,cinza
,ashamed,e05f,envergonhado
,Asher,ebde,Aser
,Ashhur,ebdd,Terra_de_Aser
,Asia,eb6f,Ásia
,ask,e061,pergunta
,Assos,eb20,Assôs
,assurance,e070,certeza
,Asyncritius,ebbe,Asyncritius
,Athens,eb07,Atenas
,Attalia,eb31,Atália
,attendant,e150,assitente
,author,e12c,autor
,authority,e034,autoridade
,avenge,ed0c,Vingar-se
,awake,ec54,desperto
,away,e11e,longe
,Azor,ea6c,Azor
,Azotus,eb7e,Azoto
,Baal,ebbf,Baal
,baby,e0a6,bebê
,Babylon,ea67,Babilônia
,backward,e325,em_sentido_contrário
,bad,e17d,mau
,bag,e26f,saco
,Balaam,eca1,Balaão
,Balak,ebff,Balaque
,bank,ec55,banco
,baptism,e24a,batismo
,Barabbas,e36d,Barrabás
,Barachiah,ea97,Baraquias
,Barak,ed02,Baraque
,Barnabas,ec2f,Barnabé
,Barsabbas,eb69,Barsabbas
,Bartholomew,e362,Bartolomeu
,Bartimaeus,e36b,Bartimaeus
,basket,e19f,cesta
,battle,e283,batalha
,bear,ecef,suportar
,bear_with,e227,tolerar
,beast,e103,besta
,beat,e0e4,batimento
,beautiful,ea4a,belo
,because,e066,porque
,beckon,e040,acenar
,become_person,e83a,Tornar-se_pessoa
,become_thing,e839,Tornar-se_uma_coisa
,bed,e122,cama
,Beelzebul,e335,Beelzebul
,before,e107,antes
,beg,e21e,implorar
,beginning,e231,começar
,behind,e116,atrás
,believe,e06f,crer
,Believer,eb90,Crente
,belt,e29d,cinto
,Benjamin,eb4b,Benjamim
,Beor,eda3,Beor
,Berea,eb13,Bereia
,Bernice,eb9e,Berenice
,beside,e117,ao_lado
,best,e21f,melhor
,Bethany,e349,Beânia
,Bethesda,eba0,Betesda
,Bethlehem,ea45,Belém
,Bethphage,e348,Betfagé
,Bethsaida,e340,Betsaida
,betray,e195,trair
,better,e09e,melhor
,between,e118,entre
,Bible,e22c,Bíblia
,big,e120,grande
,bird,e25c,pássaro
,birth,e235,nascimento
,Bithynia,eb48,Bitínia
,bitter,ecd2,amargo
,black,eb86,preto
,blaspheme,e05b,blasfemar
,Blastus,eb8d,Blasto
,blemish,ed01,defeito
,bless,e05c,abençoar
,blessed,ea21,abençoado
,blind,e192,cego
,blood,e087,sangue
,blue,ecda,azul
,boast,e14b,alardear
,boat,e265,barco
,Boaz,ea54,Boaz
,body,e143,corpo
,bone,e0b2,osso
,book,e22a,livro
,bottom,e119,fundo
,bow,e210,arco
,bow_arrow,ecc8,Arco-flecha
,bowl,e384,taça
,box,e29e,caixa
,boy,e001,menino
,boys,e002,meninos
,branch,e246,ramificar
,brave,e196,valente
,bread,e05d,pão
,break,e0e1,partir
,breastplate,ecd5,peitoral
,breath,ecee,fõlego
,bribe,ebdb,subornar
,bride,e015,noiva
,bright,e21b,brilhante
,bring,e088,trazer
,bronze,eb2c,bronze
,brother,e006,irmão
,brothers,e007,irmãos
,build,e17a,edificar
,building,e0a1,edificando
,burden,ec86,fardo
,burn,ecd0,queimar
,bury,e0d7,enterrar
,but,e11a,porêm
,buy,e32a,comprar
,Caesar,e370,César
