"","man","e000","hombre",,
"","boy","e001","muchacho",,
"","boys","e002","muchachos",,
"","father","e003","padre",,
"","son","e004","hijo",,
"","sons","e005","hijas",,
"","brother","e006","hermano",,
"","brothers","e007","hermanos",,
"","woman","e008","mujer",,
"","girl","e009","muchacha",,
"","girls","e00a","muchachas",,
"","mother","e00b","madre",,"/"
"","daughter","e00c","hija ",,
"","daughters","e00d","hijas",,
"","sister","e00e","hermana",,
"","sisters","e00f","hermanas",,
"","marriage","e010","matrimonio",,
"","wedding","e011","boda",,
"","husband","e012","esposo",,
"","groom","e013","novio",,
"","wife","e014","esposa",,
"","bride","e015","novia",,
"","widow","e016","viuda",,
"","inheritance","e017","herencia",,
"","heir","e018","heredero",,
"","generation","e019","generación",,
"","compassion","e01a","compasión",,
"","love","e01a","amor",,
"","enmity","e01b","enemistad",,
"","hate","e01b","odio",,
"","kind_nice","e01c","amable_simpático",,
"","kindness","e01c","amabilidad",,
"","mercy","e01d","misericordia",,
"","hungry","e01e","hambriento",,
"","grace","e01f","gracia",,
"","desire","e020","deseo",,
"","like ","e020","gustar",,
"","want","e020","querer",,
"","will","e020","voluntad",,
"","choose","e021","escoger",,
"","covet","e022","codiciar",,
"","envy","e022","envidia",,
"","trust","e023","confiar",,
"","friend","e024","amigo",,
"","enemy","e025","enemigo",,
"","reconcile","e026","reconciliar",,
"","adultery","e027","adulterio",,
"","king","e028","rey",,
"","lord","e028","señor",,
"","master","e028","amo",,
"","ruler","e028","gobernante",,
"","money","e029","dinero",,
"","wealth","e029","riqueza",,
"","wealthy","e029","adinerado",,
"","wrath_of_God","e02a","ira_de_Dios ",,
"","tax","e02b","impuesto",,
"","redeem","e02c","redimir",,
"","redemption","e02c","redención",,
"","reward","e02d","recompensa",,
"","market_place","e02e","plaza_del_mercado",,
"","kingdom","e02f","reino",,
"","oil","e030","aceite",,
"","honor","e031","honor",,
"","dominion","e032","dominio",,
"","anointed","e033","ungido",,
"","authority","e034","autoridad",,
"","profit","e035","ganancia",,
"","God","e036","Dios",,
"","Jesus","e037","Jesús",,
"","cross","e038","cruz",,
"","mustard","e039","mostaza",,
"","offering","e03a","ofrenda",,
"","priest","e03b","sacerdote",,
"","crucify","e03c","crucificar",,
"","temple","e03d","templo",,
"","persecute","e03e","perseguir",,
"","persecution","e03e","persecución",,
"","tribulation","e03e","tribulación",,
"","confession","e03f","confesión",,
"","mouth","e03f","boca",,
"","said","e03f","dijo",,
"","speak","e03f","hablar",,
"","beckon","e040","hacer_señas",,
"","call","e040","llamar",,
"","appointed","e041","nombrado",,
"","voice","e042","voz",,
"","unleavened","e043","ázimo",,
"","thunder","e044","trueno",,
"","tongue","e045","lengua",,
"","salt","e046","sal ",,
"","sigh","e047","suspiro",,
"","spit","e048","escupir",,
"","continue","e049","continuar",,
"","repeat","e049","repetir",,
"","times","e049","tiempos",,
"","times","e049","época",,
"","allow","e04a","dejar",,
"","permission","e04a","permiso",,
"","permit","e04a","permitir",,
"","dignify","e04b","dignificar",,
"","exalt","e04b","exaltar",,
"","praise","e04b","alabanza",,
"","worship","e04b","adorar",,
"","teach","e04c","enseñar",,
"","teaching","e04c","enseñanza",,
"","preach","e04d","predicar",,
"","preaching","e04d","predicación",,
"","obedience","e04e","obediencia",,
"","obey","e04e","obedecer",,
"","name","e04f","nombre",,
"","mute","e050","mudo",,
"","greeting","e051","saludo",,
"","honey","e052","miel",,
"","eat","e053","comer",,
"","food","e053","alimento",,
"","meal","e053","comida",,
"","feast","e054","banquete",,
"","accuse","e055","acusar",,
"","criticize","e055","criticar",,
"","revile","e055","denigrar",,
"","afraid","e056","miedo",,
"","fear","e056","temor",,
"","worry","e056","preocupación",,
"","argument","e057","discusión",,
"","command","e058","mandar",,
"","insist","e058","insistir",,
"","explain","e059","explicar",,
"","explanation","e059","explicación",,
"","curse","e05a","maldición",,
"","blaspheme","e05b","blasfemar",,
"","blasphemy","e05b","blasfemia",,
"","insult","e05b","insulto",,
"","bless","e05c","bendecir",,
"","blessing","e05c","bendición",,
"","bread","e05d","pan",,
"","loaf","e05d","pan_de_molde",,
"","pray","e05e","orar",,
"","prayer","e05e","oración",,
"","ashamed","e05f","avergonzado",,
"","rebuke","e060","reprender",,
"","ask","e061","preguntar",,
"","questioned","e061","interrogación",,
"","know","e062","conocer",,
"","knowledge","e062","conocimiento",,
"","understand","e063","entender",,
"","understanding","e063","entendimiento",,
"","wisdom","e064","sabiduría ",,
"","wise","e064","sabio",,
"","humiliate","e065","humillar",,
"","shame","e065","avergonzar ",,
" ","because","e066","porque",,
"","purpose","e066","propósito",,
"","reason","e066","razón",,
"","therefore","e066","por_lo_tanto",,
"","why","e067","por_qué",,
"","how","e068","cómo   ",,
"","stranger","e069","extraño",,
"","perceive","e06a","percibir",,
"","plan","e06b","plan",,
"","mind","e06c","mente",,
"","think","e06c","pensar",,
"","think_opinion","e06c","pensar_opinión",,
"","think_wonder","e06c","pensar_preguntando",,
"","thought","e06c","pensamiento",,
"","lunatic","e06d","lunático",,
"","ignorance","e06e","ignorancia",,
"","ignorant","e06e","ignorante",,
"","believe","e06f","creer",,
"","faith","e06f","fe ",,
"","assurance","e070","garantía",,
"","confidence","e070","confianza",,
"","hand","e071","mano",,
"","gift","e072","regalo",,
"","stop","e073","parar",,
"","search","e074","buscar",,
"","send","e075","enviar",,
"","create","e076","crear",,
"","make","e076","hacer",,
"","sew","e077","coser",,
" ","needle","e078","aguja",,
"","shade","e079","sombra",,
"","share","e07a","compartir",,
"","steal","e07b","robar",,
"","stewardship","e07c","mayordomía",,
"","sow","e07d","sembrar",,
"","to_plant","e07d","plantar",,
"","put","e07e","poner",,
"","have_to","e07f","tener_que",,
"","need","e07f","necesidad",,
"","go_down","e080","hacia_abajo",,
"","lower_verb","e080","bajar_verbo",,
"","lift","e081","levantar",,
"","harvest","e082","cosecha",,
"","have","e083","tener ",,
"","heal","e084","sanar",,
"","hide","e085","esconder",,
"","for","e086","para",,
"","give","e086","dar",,
"","blood","e087","sangre",,
"","bring","e088","traer",,
"","carry","e088","cargar",,
"","take","e088","tomar",,
"","lost","e089","perdido",,
"","strong","e08a","fuerte",,
"","wash","e08b","lavar",,
"","do","e08c","hacer",,
"","work","e08c","trabajo",,
"","use","e08d","uso",,
"","useful","e08d","útil",,
"","serve","e08e","servir",,
"","lawlessness","e08f","anarquía",,
"","sin","e08f","pecado",,
"","sinful","e08f","pecaminoso",,
"","unrighteous","e08f","injusto",,
"","unrighteousness","e08f","injusticia",,
"","righteous ","e090","justo",,
"","righteousness","e090","justicia",,
