E01A love:compassion
E01B hate:enmity
E01C kindness:kind
E020 want:will:desire:like 
E022 envy:covet
E028 ruler:crown:king:lord
E029 wealthy:money:wealth
E02C redemption:redeem
E03D temple:church
E03E persecution:persecute:tribulation
E03F speak:mouth:said
E040 call:beckon
E047 sigh:breathe
E049 times:repeat
E04A permission:permit:allow
E04B worship:exalt:praise
E04C teaching:teach
E04D preaching:preach
E04E obey:obedience
E053 meal:eat:food
E056 fear:worry:afraid
E059 explanation:explain
E05C blessing:bless
E05D loaf:bread
E05E prayer:pray
E061 questioned:ask
E062 knowledge:know
E063 understanding:understand
E064 wise:wisdom
E065 shame:humiliate
E066 therefore:because:purpose:reason
E06C think:thought:think_opinion:think_wonder:mind
E06E ignorant:ignorance
E06F faith:believe
E070 confidence:assurance
E076 make:create
E07D to_plant:sow
E07F need:have_to
E080 lower_verb:go_down
E086 give:for
E088 take:bring:carry
E08C work:do
E08D useful:use
E08F sinful:sin
E090 righteousness:righteous 
E097 perfume:fragrant
E09A yes:correct
E09B worthy:value:worth
E09C truth:true 
E09F live:alive:life
E0A2 nation:country
E0A3 governor:proconsul
E0D9 stair:level
E0E2 song:Psalm:sing
E0E4 hit:beat
E0E6 weight:weigh
E0E9 thief:robber
E0F5 earn:deserve
E0F9 Jewish:Jew
E108 together(things):gathered_things
E10B through:pass
E110 over:above
E113 on_top_of:on
E121 sleep:lie_down:rest
E122 mattress:bed
E124 power:ability:can
E125 they:them
E126 together(people):gathered_people
E128 multitude:crowd
E12C writer:author :scribe
E130 saint:godly:righteous_person
E133 sower:farmer
E137 leader:lead
E141 kill:destroy
E142 disciple:apostle
E144 healer:doctor
E147 to_clothe:clothe
E148 cohort:army
E14A amazing:amazed
E14B pride:boast
E14D sea:ocean
E150 helper:attendant
E152 hypocrite:deceiver
E153 space:earth:ground:land:place
E154 ripen:grow:growth
E156 wilderness:desert
E158 sojourner:foreigner:gentile
E15B soil:ground_soil:dirt
E15F sun:day
E162 show:appear:reveal
E166 me:I
E167 we:us
E16A when:time
E16F patient:longsuffering:patience
E176 family:relative
E177 adoption:adopt
E178 tomb:grave
E17B dwell:abide
E17C not:no
E17F lie :deceive:deception:false :lead_astray
E181 die:dead:death
E183 temptation:tempt
E184 that:other
E185 silence:quiet
E186 whisper:secret
E18F forgiveness:forgive
E190 useless:futile
E193 rebellion:disobedience:disobey
E194 unbelief:doubt
E195 betrayal:betray
E196 courage:brave
E19B small:few
E19D humility:humble
E1A2 judgment:judge
E1A3 receive:gain
E204 angry:anger
E205 joy:happy
E207 sad:grieve
E209 healthy:health
E20A sick:disease
E20B party:festival
E20E thank:grateful:gratitude
E214 save:rescue
E215 now:immediately
E219 faithfulness:faithful
E223 only:alone
E224 laughter:laugh
E225 later:late 
E22A read:book:learn
E22B gospel:good_news
E22C Word_of_God:Bible:Scripture 
E22D story:message:news:report:parable
E22E witness:testimony
E22F lawful:law
E231 start:beginning
E232 finish:end
E235 born:birth
E236 ripe :mature
E238 see:eye
E239 sexual_desire:lust:sensuality
E23C way:path:road
E240 inside:in
E241 outside:out
E243 leave:come_out:depart
E244 wood:plant:tree
E247 wet:water
E248 pure:clean
E249 impure:dirty
E24A baptize:baptism
E24B same:equal
E24E knife:cut
E24F pain:hurt
E250 circumcision:circumcise
E251 whole:all
E252 eternity:always:eternal
E253 fabric:clothing
E25A visit:come   
E25F imprisoned:arrest:bound:chain
E260 freedom:free
E26C pillow:cushion
E26D gentleness:gentle
E272 night:moon
E274 drink:cup
E279 wheat:grain
E283 war:battle:fight
E298 sit:chair
E299 hear :ear
E29B some :part 
E29C write:pen
E301 hot :fire:heat
E309 smell:nose
E30B stream:river
E30E tie:knot
E318 to:forward
E31E turn:change
E31F transfigure:transfiguration
E320 repentance:repent
E321 depth:deep
E322 ascend:arise
E326 split:divide:division:separate
E329 resurrection:resurrect
E32A spend:buy
E334 Messiah:Christ
E335 Satan:Beelzebul
E33F Gerasenes:Gadara
E34B Golgotha:Joda
E354 Mary_Mother_of_Jesus:Mary
E35A John_the_Disciple:John
E368 Jude:Judas:Judas_not_Iscariot
E381 travel:journey:trip:go 
E384 dish:bowl
E386 platter:plate
E397 smallest:least
E83A convert:become_person
EA16 lots:Lasea:lot
EA47 Simon:Simeon
EA4A beauty:beautiful
EA7F condemnation:condemn
EA80 dream:vision
EA84 guilty:guilt
EB02 Hannah:Anna
EB03 Joshua:Jason:Jesus_not_Christ
EB14 victory:prevail:triumph
EB32 tent:tabernacle
EB44 Lystra:Levite
EB5D Hamor:Emmor
EB73 Put:Libya
EB7D wings:wing
EB90 Christian:Believer
EB91 field:farm
EBB5 Didymus:Clopas
EBC0 reckon:counted:credit
EBCC Persis:Patrobas
EC32 Ethiopia:Cush
EC33 sect:religion
EC36 Clauda:Cauda
EC44 Heli:Eli
EC6F Nathaniel:Nathan
EC87 trial:case
EC9C Matthias:Mattatha
