,ec80,ancestor
,eb71,Theudas
,eb78,Dionysius
,e01a,love
,e01b,hate
,e01c,kind_nice
,e01d,mercy
,e01e,hungry
,e01f,grace
,e020,desire
,e021,choose
,e022,envy
,e023,trust
,e024,friend
,e025,enemy
,e026,reconcile
,e027,adultery
,e0a4,abomination
,eccf,thirst
,e2cc,Urim
,e2fe,jealous
,e3c4,Reba
,e3c3,Rekem
,ebcf,Philologus
,ebcc,Patrobas
,ebcb,Olympus
,ebca,Nereus
,ebc9,Narcius
,ebc8,Junia
,ebc7,Julia
,eb85,Candace
,ec9b,Jonam
,ec9c,Mattatha
,ec9d,Mattathias
,ec9e,Semien
,ec8a,magician
,ec8f,Hebrew
,ec92,Joel
,ec93,Lucius
,ec94,Pharaoh
,ec96,Timon
,ebde,Asher
,ebdc,Lot
,eba1,Aenon
,eba3,Ephraim_man
,e028,king
,e038,cross
,e062,know
,e071,hand
,e08c,work
,e096,good
,e102,animal
,e105,thing
,e11f,person
,e153,land
,e15f,sun
,e166,me
,e16a,time
,e171,house
,e17c,no
,e198,many
,e19b,small
,e203,face
,e000,man
,e001,boy
,e002,boys
,e003,father
,e004,son
,e005,sons
,e006,brother
,e007,brothers
,e008,woman
,e009,girl
,e00a,girls
,e00b,mother
,e00c,daughter
,e00d,daughters
,e00e,sister
,e00f,sisters
,e010,marriage
,e011,wedding
,e012,husband
,e013,groom
,e014,wife
,e015,bride
,e016,widow
,e017,inheritance
,e018,heir
,e019,generation
,eb02,Anna
,e354,Mary
,eb92,Rhoda
,eb63,Annas
,eb03,Joshua
,eb04,Matthew
,ec76,Salathiel
,ec78,Serug
,ec79,Seth
,ec7a,Shelah
,ec7b,Shem
,ec7c,Susanna
,ec7d,Terah_man
,ec7e,Zacchaeus
,ec6e,Nahor
,ec5c,Elisha
,eb4d,Gamaliel
,e385,Miriam
,eb6c,Judas
,ebce,Persis
,ec1b,twin
,e1c4,Mattithiah
,ed12,Matthat
,ebab,Nicodemus
,e03f,mouth
,e19c,slow
,e19d,humble
,e19e,careful
,e19f,basket
,e200,child
,e201,children
,e202,hill
,e397,least
,e0a3,governor
,e0f1,young
,ea06,worm
,ec65,lake
,ecf4,grape
,e409,Tahath
,e211,very
,e212,here
,e213,hope
,e214,save
,e215,now
,e216,hosanna
,e217,glory
,e218,fall
,e219,faithful
,e21a,fast_speed
,e21b,bright
,e21c,cornerstone
,e21d,covenant
,e21e,beg
,e21f,best
,e220,wind
,e221,sealed
,e222,suffering
,e223,alone
,e224,laugh
,e225,late
,e226,this
,e227,bear_with
,e228,press
,e229,most
,e0a6,baby
,eb8f,eunuch
,eba8,Latin
,ebe7,priority
,ebe8,loud
,eca3,milk
,ecec,complete
,ed0a,jump
,e22a,book
,e22b,gospel
,e22c,Bible
,e22d,story
,e22e,testimony
,e22f,law
,e230,chapter
,eb84,letter
,ebb4,word
,ebb8,Word
,ecfa,meaning
,e3fb,Paltiel
,e1a9,Elah
,e1af,Hadar
,e1b0,Hazo
,e1b1,Heber
,e1b5,Ishmael
,e1b3,Hirah
,e1b4,Husham
,e1b6,Ithran
,e1b7,Jabal
,e1b8,Jahziel
,e1b9,Jakin
,e1ba,Javan
,e1bb,Jeush
,e1bc,Jezer
,e1bd,Joktan
,e1c2,Lud
,e1cf,Amittai
,e1ce,Reuel
,e1d2,Rosh
,e1d3,Puah_man
,e1d6,Shepho
,e1d9,Shobal
,e1d5,Shaul
,e1db,Tahash
,e1de,Zepho
,e1df,Zimran
,e1e3,Eldaah
,e1c3,Manahath
,e1c5,Mibzar
,e1c6,Mishma
,e1c7,Mizzah
,e1c8,Nahath
,e1c9,Omar
,e1ca,Onam
,e1cb,Onan
,e1cc,Pallu
,e1cd,Potiphera
,e1e9,Eden_man
,e35c,Levi_Matthew
,e1ee,Bedad
,e2d1,Machir_man
,e0bb,Ahisamak
,e0cb,Gershom
,e0cc,Jethro
,e0cf,Oholiab
,e0bf,Bezalel
,e231,start
,e232,end
,e233,first
,e234,last
,e235,birth
,e236,mature
,e237,result
,e0d2,fulfill
,ec54,awake
,e2ab,Ahiezer
,e2ac,Ahiman
,e2ad,Ammiel
,e238,eye
,e23c,road
,e23e,door
,e244,tree
,e247,water
,e24b,same
,e24e,knife
,e251,all
,e253,clothing
,e256,walk
,e25b,fly
